Subject id,Puzzle series no,Index,Correct answer,Given answer,Time,Gender,Age,Student rug,Student bachelor,Study program,Logic course,Logic course (additional),Difficulty instructions,Enjoy puzzle,Difficulty puzzle,Know puzzle?,Know puzzle? (additional),Strategy,Mood,Remarks,Level,Scenario
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#080,"Extra large, hot","Extra large, hot",248.29688549041748,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,2,drink
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#022,"May, 15",Multiple solutions,375.1038603782654,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,3,birthday
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#151,"Curly, green","Spiky, pink",212.718656539917,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,4,hair
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#091,"On the table, cat","On the table, cat",151.32521772384644,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,1,toy
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,,,40,59.61623406410217,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,,
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#040,"September, 14","September, 14",212.9579074382782,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,2,birthday
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#110,"On the table, train","On the bed, bunny",458.1942973136902,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,4,toy
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#051,"Extra small, cold","Extra small, cold",128.40462803840637,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,1,drink
03313a39-ebe9-4b63-9be1-fd6d2c74847c,18,#143,"Curly, pink","Curly, pink",169.65358686447144,Male,19,Yes,Yes,Astronomy,No,,9,10,6,Yes,,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,,3,hair
0702a86a-b28e-4696-8985-c62f54d8eaac,5,#020,"September, 15",No solution,72.14730834960938,Female,21,Yes,Yes,International Business,No,,6,5,7,No,,no strategy,6,,3,birthday
