"Subject.id","Puzzle.series.no","Index","Correct.answer","Given.answer","Time","Gender","Age","Student.rug","Student.bachelor","Study.program","Logic.course","Logic.course..additional.","Difficulty.instructions","Enjoy.puzzle","Difficulty.puzzle","Know.puzzle.","Know.puzzle...additional.","Strategy","Mood","Remarks","Level","Scenario","Translated.answer","logTime","Block","Trial","Is.correct"
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#080","Extra large, hot","Extra large, hot",248.296885490417,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"2","drink","September, 14",5.51462514910246,1,1,1
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#022","May, 15","Multiple solutions",375.103860378265,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"3","birthday","Multiple solutions",5.9272029486325,1,2,0
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#151","Curly, green","Spiky, pink",212.718656539917,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"4","hair","June, 15",5.35997043128826,1,3,0
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#091","On the table, cat","On the table, cat",151.325217723846,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"1","toy","May, 15",5.01943128055978,1,4,1
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#040","September, 14","September, 14",212.957907438278,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"2","birthday","September, 14",5.36109452851982,2,5,1
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#110","On the table, train","On the bed, bunny",458.19429731369,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"4","toy","June, 15",6.12729332409666,2,6,0
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#051","Extra small, cold","Extra small, cold",128.404628038406,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"1","drink","May, 15",4.85518643451912,2,7,1
"03313a39-ebe9-4b63-9be1-fd6d2c74847c",18,"#143","Curly, pink","Curly, pink",169.653586864471,"Male",19,"Yes","Yes","Astronomy","No",NA,9,10,6,"Yes",NA,"I wrote down the perspective that was not given yet, for example a temperature and the corresponding sizes, and reason from there using the conversation provided",9,NA,"3","hair","September, 15",5.13375863373866,2,8,1
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#020","September, 15","No solution",72.1473083496094,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"3","birthday","No solution",4.27870997821226,1,1,0
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#152","With bangs, orange","I don't know",71.8234136104584,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"4","hair","I don't know",4.27421051774999,1,2,0
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#081","Extra large, iced","I don't know",40.1666524410248,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"2","drink","I don't know",3.69303711009718,1,3,0
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#090","On the table, bunny","I don't know",56.0107705593109,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"1","toy","I don't know",4.0255440036581,1,4,0
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#111","On the table, doll","I don't know",19.0868484973907,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"4","toy","I don't know",2.94899953754,2,5,0
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#063","Extra small, cold","I don't know",32.0141050815582,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"3","drink","I don't know",3.46617658948178,2,6,0
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#011","May, 17","I don't know",32.7039997577667,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"1","birthday","I don't know",3.4874973871744,2,7,0
"0702a86a-b28e-4696-8985-c62f54d8eaac",5,"#162","Curly, green","I don't know",3.01284337043762,"Female",21,"Yes","Yes","International Business","No",NA,6,5,7,"No",NA,"no strategy",6,NA,"2","hair","I don't know",1.10288427420934,2,8,0
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#151","Curly, green","Pixie, blue",707.311714410782,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","4","hair","August, 17",6.56147146605774,1,1,0
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#022","May, 15","May, 15",404.668158054352,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","3","birthday","September, 15",6.00306736841658,1,2,1
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#092","On the windowsill, bunny","On the windowsill, bunny",183.186319351196,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","1","toy","May, 15",5.21050377342105,1,3,1
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#082","Extra small, hot","Small, lukewarm",276.70829129219,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","2","drink","August, 15",5.6229638512597,1,4,0
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#073","Extra large, hot","Multiple solutions",150.760026693344,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","4","drink","Multiple solutions",5.01568934545745,2,5,0
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#131","Curly, pink","Curly, pink",77.1096241474152,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","1","hair","May, 15",4.34522809959379,2,6,1
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#042","May, 14","Multiple solutions",70.3038034439087,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","2","birthday","Multiple solutions",4.2528259003959,2,7,0
"078dfd8b-a088-4749-b4cd-2b0f0f9870f9",23,"#101","On the windowsill, cat","Multiple solutions",47.304083108902,"Female",20,"Yes","Yes","Industrial engineerig and management","No",NA,10,6,8,"No",NA,"write down the different possible combinations and depending on what the dialogue between both characters showed, make the decision.",6,"It was interesting.","3","toy","Multiple solutions",3.85659661542765,2,8,0
"0a228ea2-90e7-4a10-b62d-465cbaa94c42",45,"#080","Extra large, hot","Small, hot",233.433799743652,"Female",19,"Yes","Yes","biology","No",NA,7,7,7,"No",NA,"i tried to first see what each of themknew and then put it into relation to each other",4,NA,"2","drink","June, 14",5.45289852403643,1,1,0
"0a228ea2-90e7-4a10-b62d-465cbaa94c42",45,"#153","With bangs, green","Multiple solutions",218.263704061508,"Female",19,"Yes","Yes","biology","No",NA,7,7,7,"No",NA,"i tried to first see what each of themknew and then put it into relation to each other",4,NA,"4","hair","Multiple solutions",5.38570398340829,1,2,0
