Unnamed: 0,IDX,Options,Dialogue,Correct answer,Level of ToM,Scenario,Translation key,Translated answer
0,#010,"{'May': [15, 16], 'June': [17, 18], 'July': [14, 16], 'August': [14, 17], 'September': [16, 18]}","Bernard: ""I know when Cheryl's birthday is.""","May, 15",1,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
1,#020,"{'May': [15, 18], 'June': [15, 17], 'July': [14, 16], 'August': [14, 16], 'September': [15, 16]}","Albert: ""I know that you don’t know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","September, 15",3,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
2,#030,"{'May': [15, 18], 'June': [14, 15], 'July': [17, 18], 'August': [16, 17], 'September': [16, 17]}","Benard: ""I know that you know that I don't know when Cheryl's birthday is.""; Albert: ""I didn't know at first but now I know.""","May, 18",4,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
3,#050,"{'Extra small': ['lukewarm', 'room temperature'], 'Small': ['cold', 'iced'], 'Regular': ['hot', 'room temperature'], 'Large': ['hot', 'cold'], 'Extra large': ['room temperature', 'iced']}","Bernard: ""I know what Cheryl's preference is.""","Extra small, lukewarm",1,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
4,#060,"{'Extra small': ['lukewarm', 'iced'], 'Small': ['lukewarm', 'cold'], 'Regular': ['hot', 'room temperature'], 'Large': ['hot', 'room temperature'], 'Extra large': ['lukewarm', 'room temperature']}","Albert: ""I know that you don’t know what Cheryl's preference is.""; Bernard: ""At first I didn’t know, but now I know.""","Extra large, lukewarm",3,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
5,#070,"{'Extra small': ['lukewarm', 'iced'], 'Small': ['hot', 'lukewarm'], 'Regular': ['cold', 'iced'], 'Large': ['room temperature', 'cold'], 'Extra large': ['room temperature', 'cold']}","Benard: ""I know that you know that I don't know what Cheryl's preference is.""; Albert: ""I didn't know at first but now I know.""","Extra small, iced",4,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
6,#090,"{'On the table': ['bunny', 'clown'], 'On the bed': ['cat', 'train'], 'On the floor': ['doll', 'clown'], 'On the armchair': ['doll', 'cat'], 'On the windowsill': ['clown', 'train']}","Bernard: ""I know Cheryl's favourite toy.""","On the table, bunny",1,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
7,#100,"{'On the table': ['bunny', 'train'], 'On the bed': ['bunny', 'cat'], 'On the floor': ['doll', 'clown'], 'On the armchair': ['doll', 'clown'], 'On the windowsill': ['bunny', 'clown']}","Albert: ""I know that you don’t know Cheryl's favourite toy.""; Bernard: ""I didn't know at first, but now I know.""","On the windowsill, bunny",3,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
8,#110,"{'On the table': ['bunny', 'train'], 'On the bed': ['doll', 'bunny'], 'On the floor': ['cat', 'train'], 'On the armchair': ['clown', 'cat'], 'On the windowsill': ['clown', 'cat']}","Benard: ""I know that you know that I don't know Cheryl's favourite toy.""; Albert: ""I didn't know at first but now I know.""","On the table, train",4,toy,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
9,#130,"{'Curly': ['blue', 'purple'], 'Spiky': ['pink', 'orange'], 'Straight': ['green', 'purple'], 'Pixie': ['green', 'pink'], 'With bangs': ['purple', 'orange']}","Bernard: ""I know what Diane's hair looks like.""","Curly, blue",1,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
10,#140,"{'Curly': ['blue', 'orange'], 'Spiky': ['blue', 'pink'], 'Straight': ['green', 'purple'], 'Pixie': ['green', 'purple'], 'With bangs': ['blue', 'purple']}","Albert: ""I know that you don’t know what Diane's hair looks like.""; Bernard: ""I didn't know at first, but now I know.""","With bangs, blue",3,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
11,#150,"{'Curly': ['blue', 'orange'], 'Spiky': ['green', 'blue'], 'Straight': ['pink', 'orange'], 'Pixie': ['purple', 'pink'], 'With bangs': ['purple', 'pink']}","Bernard: ""I know that you know that I don't know what Diane's hair looks like.""; Albert: ""I didn't know at first but now I know.""","Curly, orange",4,hair,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
12,#011,"{'May': [16, 17], 'June': [14, 15], 'July': [16, 18], 'August': [15, 18], 'September': [14, 16]}","Bernard: ""I know when Cheryl's birthday is.""","May, 17",1,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
13,#021,"{'May': [14, 17], 'June': [15, 17], 'July': [16, 18], 'August': [16, 18], 'September': [16, 17]}","Albert: ""I know that you don’t know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","September, 17",3,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
14,#031,"{'May': [14, 17], 'June': [17, 18], 'July': [14, 15], 'August': [15, 16], 'September': [15, 16]}
","Benard: ""I know that you know that I don't know when Cheryl's birthday is.""; Albert: ""I didn't know at first but now I know.""","May, 14",4,birthday,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
15,#013,"{'May': [14, 16], 'June': [15, 18], 'July': [16, 18], 'August': [14, 15], 'September': [16, 17]}
","Bernard: ""I know when Cheryl's birthday is.""","September, 17",1,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
16,#023,"{'May': [16, 17], 'June': [16, 18], 'July': [16, 18], 'August': [15, 17], 'September': [14, 17]}
","Albert: ""I know that you don’t know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","May, 17",3,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","September, 15"
17,#033,"{'May': [15, 16], 'June': [15, 16], 'July': [14, 15], 'August': [17, 18], 'September': [14, 17]}
","Benard: ""I know that you know that I don't know when Cheryl's birthday is.""; Albert: ""I didn't know at first but now I know.""","September, 14",4,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 18"
18,#012,"{'May': [16, 18], 'June': [14, 17], 'July': [14, 16], 'August': [17, 18], 'September': [15, 16]}
","Bernard: ""I know when Cheryl's birthday is.""","September, 15",1,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 15"
19,#022,"{'May': [15, 16], 'June': [14, 16], 'July': [14, 16], 'August': [15, 17], 'September': [15, 18]}
","Albert: ""I know that you don’t know when Cheryl's birthday is.""; Bernard: “I didn't know at first, but now I know.”","May, 15",3,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","September, 15"
20,#032,"{'May': [16, 17], 'June': [16, 17], 'July': [17, 18], 'August': [14, 15], 'September': [15, 18]}
","Benard: ""I know that you know that I don't know when Cheryl's birthday is.""; Albert: ""I didn't know at first but now I know.""","September, 18",4,birthday,"{'May': 'September', 'June': 'August', 'July': 'July', 'August': 'June', 'September': 'May', '14': 14, '15': 15, '16': 16, '17': 17, '18': 18}","May, 18"
21,#051,"{'Extra small': ['room temperature', 'cold'], 'Small': ['hot', 'lukewarm'], 'Regular': ['room temperature', 'iced'], 'Large': ['lukewarm', 'iced'], 'Extra large': ['hot', 'room temperature']}
","Bernard: ""I know what Cheryl's preference is.""","Extra small, cold",1,drink,"{'May': 'May', 'June': 'June', 'July': 'July', 'August': 'August', 'September': 'September', '14': 18, '15': 17, '16': 16, '17': 15, '18': 14}","May, 15"
